Club,Income(€ million),Country,Year,ChampionsLeaguePosition,ClubHexCode
Besiktas J.K,165.7,Turkey,2019,,#000000
Juventus,394.9,Italy,2019,,#000000
Tottenham Hotspur,428.3,England,2019,,#001C58
PSG,541.7,France,2019,,#004170
Schalke 04,243.8,Germany,2019,,#004D9D
Leicester City,179.4,England,2019,,#0053A0
Brighton,157.4,England,2019,,#0055A9
Zenit Saint Petersburg,167.8,Russia,2019,,#0097db
Napoli,182.8,Italy,2019,,#12A0D7
Crystal Palace,169,England,2019,,#1B458F
Newcastle United,201.5,England,2019,,#241F20
Atlético Madrid,304.4,Spain,2019,,#272E61
Everton,212.9,England,2019,,#274488
Chelsea,505.7,England,2019,,#34694
Lyon,164.2,France,2019,,#3f48cc
West Ham United,197.9,England,2019,,#60223B
Roma,250,Italy,2019,,#8E1F2F
Manchester City,568.4,England,2019,,#98C5E9
Internazionale,280.8,Italy,2019,,#A29161
Sevilla,165.2,Spain,2019,,#cb282b
Liverpool,513.7,England,2019,,#D00027
Manchester United,666,England,2019,,#DA020E
Bayern Munich,629.2,Germany,2019,,#DC052D
Southampton,172,England,2019,,#ED1A3B
Barcelona,690.4,Spain,2019,,#EDBB00
Arsenal,439.2,England,2019,,#EF0107
Milan,207.7,Italy,2019,,#FB090B
Borussia Dortmund,317.2,Germany,2019,,#FDE100
Real Madrid,750.9,Spain,2019,,#FEBE10
Benfica,150.7,Portugal,2019,,#FFD400
Borussia Mönchengladbach,169.3,Germany,2018,,#000000
Juventus,405.7,Italy,2018,,#000000
Tottenham Hotspur,355.6,England,2018,,#001C58
PSG,486.2,France,2018,,#004170
Schalke 04,230.2,Germany,2018,,#004D9D
Leicester City,271.1,England,2018,,#0053A0
Zenit Saint Petersburg,180.4,Russia,2018,,#0097db
Napoli,200.7,Italy,2018,,#12A0D7
Crystal Palace,164,England,2018,,#1B458F
Atlético Madrid,272.5,Spain,2018,,#272E61
Everton,199.2,England,2018,,#274488
Chelsea,428,England,2018,,#34694
Lyon,198.3,France,2018,,#3f48cc
West Ham United,213.3,England,2018,,#60223B
Roma,171.8,Italy,2018,3,#8E1F2F
West Bromwich Albion,160.5,England,2018,,#91453
Manchester City,527.7,England,2018,,#98C5E9
Internazionale,262.1,Italy,2018,,#A29161
Liverpool,424.2,England,2018,2,#D00027
